auction_number,timestamp,deep_agent,cap_bestx1_balanced,cap_bestx1_aggressive,cap_tier,dynamic_cap_bestx1_balanced,dynamic_cap_bestx1_aggressive,dynamic_cap_tier,random_1
37,2025-08-05 18:52:20.814978,0.0,3.229551451187335,2.7810026385224274,3.179419525065963,2.7651715039577835,2.796833773087071,3.0263852242744065,2.0527704485488125
38,2025-08-05 18:52:25.883184,0.0,3.266490765171504,2.5646437994722957,2.2427440633245386,2.955145118733509,2.9683377308707124,2.9577836411609497,2.079155672823219
39,2025-08-05 18:52:31.621768,0.0,3.3773087071240107,2.9313984168865432,3.0263852242744065,2.878627968337731,2.79155672823219,2.9208443271767814,1.7440633245382586
40,2025-08-05 18:52:36.165474,0.0,3.372031662269129,3.1108179419525066,2.503957783641161,2.7730870712401057,2.997361477572559,3.0395778364116093,2.0870712401055407
41,2025-08-05 18:52:42.652456,0.0,3.0844327176781,2.767810026385224,2.129287598944591,2.770448548812665,2.796833773087071,2.939313984168866,2.3192612137203166
42,2025-08-05 18:52:49.730709,0.0,3.094986807387863,2.9630606860158313,2.7335092348284964,2.8179419525065965,2.730870712401056,2.815303430079156,2.0606860158311346
43,2025-08-05 18:52:55.372106,0.0,3.1767810026385224,2.701846965699209,2.923482849604222,2.786279683377309,2.8601583113456464,2.736147757255936,1.8944591029023747
44,2025-08-05 18:53:01.422257,0.0,3.097625329815303,2.6042216358839054,2.8680738786279685,2.8073878627968343,2.807387862796834,2.725593667546174,2.2744063324538257
45,2025-08-05 18:53:07.211380,0.0,3.094986807387863,2.6279683377308705,2.4432717678100264,2.9102902374670183,2.886543535620053,2.920844327176781,2.1556728232189974
46,2025-08-05 18:53:11.935358,0.0,3.3535620052770447,2.7124010554089715,2.815303430079156,2.8522427440633242,2.8232189973614776,2.9313984168865437,2.4485488126649075
47,2025-08-05 18:53:17.120343,0.0,3.3720316622691295,3.058047493403694,2.7097625329815305,2.8575197889182062,2.8021108179419527,2.844327176781003,1.936675461741425
48,2025-08-05 18:53:22.224305,0.0,3.0870712401055407,2.4063324538258573,3.097625329815304,2.87335092348285,2.7546174142480213,2.9287598944591027,2.237467018469657
49,2025-08-05 18:53:27.583104,0.0,3.3034300791556728,3.0,2.453825857519789,2.95778364116095,2.8179419525065965,3.0,2.0422163588390503
50,2025-08-05 18:53:32.983502,0.0,3.364116094986807,2.633245382585752,2.691292875989446,2.775725593667546,3.1767810026385224,2.7941952506596306,2.0316622691292876
51,2025-08-05 18:53:36.228140,1.9604221635883905,2.390501319261214,2.6781002638522433,2.6464379947229553,2.4485488126649075,2.424802110817942,2.54089709762533,1.7519788918205805
52,2025-08-05 18:53:38.707579,2.2005277044854883,3.2005277044854883,2.517150395778364,2.662269129287599,2.949868073878628,2.712401055408971,2.757255936675462,1.9894459102902375
53,2025-08-05 18:53:40.886356,2.4617414248021112,3.1820580474934035,2.5804749340369395,2.897097625329815,2.7889182058047495,2.839050131926121,2.8733509234828496,1.9445910290237467
54,2025-08-05 18:53:43.284854,2.7229551451187333,3.237467018469657,2.846965699208443,2.79155672823219,2.7546174142480213,2.9261213720316626,2.7018469656992083,1.9102902374670183
55,2025-08-05 18:53:45.622836,2.984168865435356,3.4195250659630605,2.5936675461741423,2.211081794195251,2.720316622691293,2.905013192612137,2.8627968337730874,2.0422163588390503
56,2025-08-05 18:53:47.663940,2.984168865435356,3.33509234828496,3.20580474934037,1.8970976253298155,2.9525065963060686,2.8311345646437993,2.7519788918205803,2.0712401055408973
57,2025-08-05 18:53:49.838958,2.984168865435356,3.385224274406333,3.1002638522427444,2.4828496042216357,2.7625329815303425,2.770448548812665,2.762532981530343,1.878627968337731
58,2025-08-05 18:53:52.638659,2.984168865435356,3.1767810026385224,2.8522427440633247,2.4379947229551453,2.891820580474934,2.8311345646437993,2.886543535620053,2.2295514511873353
59,2025-08-05 18:53:55.348052,2.984168865435356,3.094986807387863,2.83377308707124,2.662269129287599,2.8232189973614776,2.741424802110818,2.9604221635883903,1.7889182058047493
60,2025-08-05 18:53:57.994716,2.984168865435356,3.237467018469657,2.4960422163588394,2.8575197889182062,2.79419525065963,2.9762532981530345,2.736147757255937,2.253298153034301
61,2025-08-05 18:54:00.365167,2.984168865435356,3.2585751978891824,2.7150395778364116,2.9445910290237465,2.781002638522428,3.015831134564644,2.675461741424802,2.021108179419525
62,2025-08-05 18:54:02.731812,2.984168865435356,3.3667546174142475,2.7229551451187333,2.820580474934037,2.7176781002638526,2.862796833773087,2.7387862796833775,2.221635883905013
63,2025-08-05 18:54:05.053150,2.984168865435356,3.390501319261214,2.6253298153034303,2.6649076517150396,2.7598944591029024,2.678100263852243,2.9234828496042216,2.097625329815304
64,2025-08-05 18:54:07.418632,2.984168865435356,3.184696569920844,2.556728232189974,2.8047493403693933,2.738786279683377,2.8390501319261214,2.8891820580474934,2.1398416886543536
65,2025-08-05 18:54:09.406687,2.984168865435356,3.4617414248021103,2.575197889182058,2.443271767810026,2.7651715039577835,2.8416886543535624,3.0448548812664904,2.0316622691292876
66,2025-08-05 18:54:11.985415,2.984168865435356,3.4327176781002637,2.9577836411609497,2.596306068601583,2.7572559366754614,2.6464379947229553,2.8891820580474934,1.5303430079155675
67,2025-08-05 18:54:14.116769,2.984168865435356,3.3799472295514508,2.870712401055409,2.7176781002638526,2.7836411609498684,2.7704485488126647,2.712401055408971,2.261213720316623
68,2025-08-05 18:54:16.253213,2.984168865435356,3.3825857519788918,2.606860158311346,2.8759894459102906,2.7255936675461743,2.7598944591029024,2.994722955145119,1.9656992084432716
69,2025-08-05 18:54:18.558244,2.984168865435356,3.4063324538258573,2.6094986807387865,2.9577836411609497,2.6728232189973617,2.8390501319261214,2.889182058047494,1.9894459102902378
70,2025-08-05 18:54:20.717804,2.984168865435356,3.3799472295514508,2.7704485488126647,2.8680738786279685,2.817941952506596,2.8047493403693933,2.7730870712401057,1.767810026385224
71,2025-08-05 18:54:23.085870,2.984168865435356,3.237467018469657,2.453825857519789,2.905013192612137,2.7968337730870716,2.9920844327176783,2.883905013192612,2.0923482849604227
72,2025-08-05 18:54:25.001288,2.984168865435356,3.395778364116095,3.029023746701847,2.7625329815303434,2.844327176781003,2.7018469656992083,2.6649076517150396,2.1266490765171504
73,2025-08-05 18:54:27.187701,2.984168865435356,3.3825857519788918,2.728232189973615,3.073878627968338,2.9287598944591027,2.7229551451187337,2.8153034300791555,1.8496042216358841
74,2025-08-05 18:54:29.365027,2.984168865435356,3.403693931398417,2.6411609498680737,2.6042216358839054,2.717678100263852,2.9525065963060686,2.8126649076517154,2.221635883905013
75,2025-08-05 18:54:31.617673,2.984168865435356,3.3746701846965697,3.079155672823219,2.9683377308707133,2.825857519788918,2.8047493403693933,2.733509234828496,1.804749340369393
76,2025-08-05 18:54:34.166042,2.984168865435356,3.3746701846965697,2.9604221635883907,2.62269129287599,2.844327176781003,2.5963060686015833,3.0474934036939314,1.7097625329815305
77,2025-08-05 18:54:37.255951,2.984168865435356,3.3403693931398415,3.1503957783641163,2.559366754617414,2.7018469656992083,2.6596306068601585,2.9393139841688654,1.9683377308707122
78,2025-08-05 18:54:39.667203,2.984168865435356,3.0897097625329817,2.8232189973614776,2.894459102902375,2.7519788918205803,2.857519788918206,2.9736147757255935,1.62532981530343
79,2025-08-05 18:54:41.904560,2.984168865435356,3.2744063324538257,2.7387862796833775,3.129287598944591,2.862796833773087,3.002638522427441,2.6992084432717673,1.9894459102902378
80,2025-08-05 18:54:44.355533,2.984168865435356,3.1266490765171504,2.7414248021108185,2.591029023746702,2.9287598944591027,2.7519788918205808,2.728232189973615,2.390501319261214
81,2025-08-05 18:54:46.693869,2.984168865435356,3.1873350923482846,2.778364116094987,2.889182058047494,2.7968337730870716,2.804749340369393,2.9234828496042216,2.1503957783641163
82,2025-08-05 18:54:49.097015,2.984168865435356,3.385224274406333,2.9155672823219,2.984168865435356,2.70712401055409,2.733509234828496,2.70976253298153,1.8258575197889184
83,2025-08-05 18:54:51.514896,2.984168865435356,3.2744063324538257,2.641160949868074,3.0659630606860158,2.891820580474934,2.8522427440633247,2.8153034300791555,2.129287598944591
84,2025-08-05 18:54:54.243249,2.984168865435356,3.390501319261214,2.7994722955145117,2.324538258575198,2.630606860158311,2.74934036939314,2.936675461741425,2.3878627968337733
85,2025-08-05 18:54:57.092304,2.984168865435356,3.1899736147757256,2.870712401055409,2.6174142480211082,2.8839050131926127,2.7704485488126647,2.9155672823218994,2.1055408970976255
86,2025-08-05 18:54:59.518177,2.984168865435356,3.3825857519788918,3.029023746701847,2.9155672823219,2.79155672823219,2.807387862796834,2.8786279683377307,2.0052770448548816
87,2025-08-05 18:55:01.964184,2.984168865435356,3.097625329815303,2.8469656992084436,2.369393139841689,2.8522427440633247,2.8232189973614776,2.963060686015831,2.102902374670185
88,2025-08-05 18:55:04.898597,2.984168865435356,3.2585751978891824,2.8496042216358837,2.825857519788918,2.9287598944591027,2.6992084432717682,2.799472295514512,2.163588390501319
